movie_name,rating,language,year,label_lang_rating,USER RATING
The Greatest Story Ever Told,G,English,1965,English - Family,6.6
Big Fat Liar,PG,English,2002,English - Family,5.5
When the Game Stands Tall,PG,English,2014,English - Family,6.6
The Nickel Ride,PG,English,1974,English - Family,6.6
Yentl,PG,English,1983,English - Family,6.6
The Mighty Ducks,PG,English,1992,English - Family,6.6
The Nut Job 2: Nutty by Nature,PG,English,2017,English - Family,5.5
The Last Whistle,PG,English,2019,English - Family,5.1
Black Beauty,G,English,1994,English - Family,6.6
Bee Movie,PG,English,2007,English - Family,Not found
Stuart Little 2,PG,English,2002,English - Family,5.5
Stunt Rock,PG,English,1978,English - Family,5.5
Tom and Huck,PG,English,1995,English - Family,5.5
The Chronicles of Narnia: The Voyage of the Dawn Treader,PG,English,2010,English - Family,Not found
High School Musical 3: Senior Year,G,English,2008,English - Family,5.1
The Wine of Summer,PG,English,2013,English - Family,5.1
Tank,PG,English,1984,English - Family,Not found
Monty Python and the Holy Grail,PG,English,1975,English - Family,Not found
The Willoughbys,PG,English,2020,English - Family,6.4
Stormbreaker,PG,English,2006,English - Family,5.1
Meek's Cutoff,PG,English,2010,English - Family,6.5
Always,PG,English,1989,English - Family,6.4
The Straight Story,G,English,1999,English - Family,Not found
The Walk,PG,English,2015,English - Family,Not found
The Producers,PG,English,1967,English - Family,6.4
Catch That Kid,PG,English,2004,English - Family,5.2
The Spy Next Door,PG,English,2010,English - Family,5.5
The Pursuit of D.B. Cooper,PG,English,1981,English - Family,Not found
Patton,PG,English,1970,English - Family,Not found
The Phantom,PG,English,1996,English - Family,5.1
Live and Let Die,PG,English,1973,English - Family,Not found
Indiana Jones and the Temple of Doom,PG,English,1984,English - Family,Not found
Here Comes the Boom,PG,English,2012,English - Family,6.4
Finding Neverland,PG,English,2004,English - Family,Not found
The Boxcar Children,G,English,2014,English - Family,6.5
Robin and Marian,PG,English,1976,English - Family,6.5
Four Kids and It,PG,English,2020,English - Family,5.1
Son of Flubber,G,English,1962,English - Family,Not found
The NeverEnding Story II: The Next Chapter,PG,English,1990,English - Family,5.1
The Sisterhood of the Traveling Pants,PG,English,2005,English - Family,6.5
The Last Straw,PG,English,2014,English - Family,6.5
