movie_id,movie_name,genre
tt1034032,Gamer,"Action, Sci-Fi, Thriller"
tt1228705,Iron Man 2,"Action, Sci-Fi"
tt1634106,Bloodshot,"Action, Adventure, Sci-Fi"
tt0945513,Source Code,"Action, Drama, Mystery"
tt2120120,Pixels,"Action, Comedy, Fantasy"
tt0348150,Superman Returns,"Action, Adventure, Sci-Fi"
tt0448011,Knowing,"Action, Mystery, Sci-Fi"
tt0177789,Galaxy Quest,"Adventure, Comedy, Sci-Fi"
tt0296572,The Chronicles of Riddick,"Action, Adventure, Sci-Fi"
tt2245084,Big Hero 6,"Animation, Action, Adventure"
tt0275847,Lilo & Stitch,"Animation, Adventure, Comedy"
tt1981128,Geostorm,"Action, Sci-Fi, Thriller"
tt3794354,Sonic the Hedgehog,"Action, Adventure, Comedy"
tt0084827,Tron,"Action, Adventure, Sci-Fi"
tt0227538,Spy Kids,"Action, Adventure, Comedy"
tt1648190,The Dark Tower,"Action, Adventure, Fantasy"
tt1276104,Looper,"Action, Drama, Sci-Fi"
tt0485947,Mr. Nobody,"Drama, Fantasy, Romance"
tt1536537,What Happened to Monday,"Action, Crime, Fantasy"
tt0119177,Gattaca,"Drama, Sci-Fi, Thriller"
tt0094625,Akira,"Animation, Action, Drama"
tt9664108,Voyagers,"Adventure, Sci-Fi, Thriller"
tt3420504,Finch,"Adventure, Drama, Sci-Fi"
tt1182345,Moon,"Drama, Mystery, Sci-Fi"
tt0133152,Planet of the Apes,"Action, Adventure, Sci-Fi"
tt0118929,Dark City,"Fantasy, Mystery, Sci-Fi"
tt1340138,Terminator Genisys,"Action, Adventure, Sci-Fi"
tt0082694,The Road Warrior,"Action, Adventure, Sci-Fi"
tt2274648,Hellboy,"Action, Adventure, Fantasy"
tt0405325,Sky High,"Action, Comedy, Family"
tt1051906,The Invisible Man,"Drama, Horror, Mystery"
tt0316654,Spider-Man 2,"Action, Adventure, Sci-Fi"
tt0091083,From Beyond,"Horror, Sci-Fi"
tt0230011,Atlantis: The Lost Empire,"Animation, Action, Adventure"
tt2293640,Minions,"Animation, Adventure, Comedy"
tt1571234,Mortal Engines,"Action, Adventure, Fantasy"
tt0401729,John Carter,"Action, Adventure, Sci-Fi"
tt0458525,X-Men Origins: Wolverine,"Action, Sci-Fi"
tt1706593,Chronicle,"Action, Drama, Sci-Fi"
tt0017136,Metropolis,"Drama, Sci-Fi"
tt0103644,Alien³,"Action, Horror, Sci-Fi"
tt0439815,Slither,"Comedy, Horror, Sci-Fi"
tt0063442,Planet of the Apes,"Adventure, Sci-Fi"
tt1527186,Melancholia,"Drama, Sci-Fi"
tt0119567,The Lost World: Jurassic Park,"Action, Adventure, Sci-Fi"
tt0379786,Serenity,"Action, Adventure, Sci-Fi"
tt7979580,The Mitchells vs the Machines,"Animation, Adventure, Comedy"
tt2548396,The Cloverfield Paradox,"Action, Adventure, Horror"
tt0088846,Brazil,"Drama, Sci-Fi"
tt3717490,Power Rangers,"Action, Adventure, Fantasy"
tt1772341,Wreck-It Ralph,"Animation, Adventure, Comedy"
tt10676052,Fantastic Four,"Action, Adventure, Sci-Fi"
tt1464540,I Am Number Four,"Action, Adventure, Sci-Fi"
tt8368406,Vivarium,"Horror, Mystery, Sci-Fi"
tt0435651,The Giver,"Drama, Romance, Sci-Fi"
tt0097523,"Honey, I Shrunk the Kids","Adventure, Comedy, Family"
tt1872181,The Amazing Spider-Man 2,"Action, Adventure, Sci-Fi"
tt5688932,Sorry to Bother You,"Comedy, Drama, Fantasy"
